type,properties.streamorder,properties.streamID,properties.followingStreamID,properties.id,geometry.type,geometry.coordinates
Feature,2,2971,2967,2971_7,Point,-72.97608584309788;10.51370971973073
Feature,2,2971,2967,2971_8,Point,-72.9839185538224;10.51412116760663
Feature,2,2971,2967,2971_9,Point,-72.99155236302701;10.515706244508637
Feature,2,2971,2967,2971_10,Point,-72.99833884699643;10.512972838420744
Feature,2,2971,2967,2971_11,Point,-73.00503898703194;10.516868280632552
Feature,2,2971,2967,2971_12,Point,-73.00906303600682;10.522356903094975
Feature,2,2971,2967,2971_13,Point,-73.00943863916764;10.529192153007228
Feature,2,2971,2967,2971_14,Point,-73.01063661665036;10.536384598244698
Feature,2,2971,2967,2971_15,Point,-73.00835092941726;10.542855131427304
Feature,2,2971,2967,2971_16,Point,-73.01106438911408;10.54956120170925
Feature,2,2971,2967,2971_17,Point,-73.01582657472777;10.554004412677822
Feature,2,2971,2967,2971_18,Point,-73.02210366473909;10.552396904106665
Feature,2,2971,2967,2971_19,Point,-73.02691248147568;10.556501219285892
Feature,2,2971,2967,2971_20,Point,-73.02879515450913;10.560017931329842
Feature,2,2971,2967,2971_21,Point,-73.03269100828733;10.565109536858985
Feature,2,2971,2967,2971_22,Point,-73.03897023819025;10.567346241096336
Feature,2,2971,2967,2971_23,Point,-73.04550680730978;10.568290717051681
Feature,2,2971,2967,2971_24,Point,-73.0511054205369;10.571399026483512
Feature,2,2971,2967,2971_25,Point,-73.05712846907439;10.5713454678366
Feature,2,2971,2967,2971_26,Point,-73.06396024617692;10.569541480231877
Feature,2,2971,2967,2971_27,Point,-73.07030974135365;10.565029125058606
Feature,2,2971,2967,2971_28,Point,-73.07759057041736;10.56339366061078
Feature,2,2971,2967,2971_29,Point,-73.08289960363348;10.558680242803673
Feature,2,2971,2967,2971_30,Point,-73.08909668947169;10.558975742832343
Feature,1,2975,2862,2975_1,Point,-73.1293247652892;10.293898309186622
Feature,1,2975,2862,2975_2,Point,-73.1363103573704;10.29089526467347
